TARİH: 170517 SAAT: 150921.00  ENLEM: 40.220921 BOYLAM: 28.859566  RAKIM: 120.1
TARİH: 170517 SAAT: 150922.00  ENLEM: 40.220921 BOYLAM: 28.859564  RAKIM: 119.9
TARİH: 170517 SAAT: 150923.00  ENLEM: 40.220921 BOYLAM: 28.859566  RAKIM: 119.6
TARİH: 170517 SAAT: 150924.00  ENLEM: 40.220921 BOYLAM: 28.859564  RAKIM: 119.3
TARİH: 170517 SAAT: 150925.00  ENLEM: 40.220917 BOYLAM: 28.859564  RAKIM: 119.2
TARİH: 170517 SAAT: 150926.00  ENLEM: 40.220917 BOYLAM: 28.859568  RAKIM: 119.2
TARİH: 170517 SAAT: 150927.00  ENLEM: 40.220913 BOYLAM: 28.859573  RAKIM: 119.2
TARİH: 170517 SAAT: 150928.00  ENLEM: 40.220913 BOYLAM: 28.859570  RAKIM: 119.0
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073313.00  ENLEM: 25682.000000 BOYLAM: 57199.000000  RAKIM: 113.9
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
